GO:0000014	GO:0004520
GO:0000049	GO:0003723
GO:0000062	GO:0120227
GO:0000062	GO:1901567
GO:0000064	GO:0008324
GO:0000064	GO:0008514
GO:0000064	GO:0015179
GO:0000104	GO:0016627
GO:0000146	GO:0003774
GO:0000146	GO:0140657
GO:0000149	GO:0005515
GO:0000166	GO:0036094
GO:0000166	GO:1901265
GO:0000175	GO:0008408
GO:0000175	GO:0016896
GO:0000179	GO:0008170
GO:0000179	GO:0016433
GO:0000182	GO:1990837
GO:0000213	GO:0004549
GO:0000213	GO:0016892
GO:0000215	GO:0016773
GO:0000215	GO:0140101
GO:0000248	GO:0016717
GO:0000248	GO:0070704
GO:0000250	GO:0031559
GO:0000253	GO:0016616
GO:0000268	GO:0005048
GO:0000285	GO:0016307
GO:0000287	GO:0046872
GO:0000298	GO:0016462
GO:0000339	GO:0003723
GO:0000340	GO:0000339
GO:0000400	GO:0000217
GO:0000403	GO:0000217
GO:0000404	GO:0000217
GO:0000404	GO:0032135
GO:0000405	GO:0000217
GO:0000406	GO:0000217
GO:0000721	GO:0016616
GO:0000774	GO:0030554
GO:0000774	GO:0060590
GO:0000822	GO:0043168
GO:0000822	GO:0043178
GO:0000827	GO:0016301
GO:0000827	GO:0016776
GO:0000828	GO:0016301
GO:0000828	GO:0016776
GO:0000829	GO:0016301
GO:0000829	GO:0016776
GO:0000832	GO:0000828
GO:0000900	GO:0030371
GO:0000900	GO:0090079
GO:0000976	GO:0001067
GO:0000976	GO:1990837
GO:0000977	GO:0000976
GO:0000978	GO:0000977
GO:0000978	GO:0000987
GO:0000979	GO:0000977
GO:0000979	GO:0001046
GO:0000981	GO:0003700
GO:0000987	GO:0000976
GO:0000993	GO:0001099
GO:0000993	GO:0043175
GO:0000994	GO:0043175
GO:0000995	GO:0140223
GO:0001002	GO:0000992
GO:0001002	GO:0080084
GO:0001003	GO:0000992
GO:0001006	GO:0000992
GO:0001016	GO:0000976
GO:0001018	GO:0000976
GO:0001042	GO:0043175
GO:0001046	GO:0000976
GO:0001054	GO:0003899
GO:0001055	GO:0003899
GO:0001056	GO:0003899
GO:0001091	GO:0001099
GO:0001091	GO:0140296
GO:0001093	GO:0001091
GO:0001094	GO:0001091
GO:0001094	GO:0044877
GO:0001147	GO:0000976
GO:0001156	GO:0001025
GO:0001162	GO:0000977
GO:0001162	GO:0001161
GO:0001164	GO:0001046
GO:0001164	GO:0001163
GO:0001181	GO:0140223
GO:0001221	GO:0008134
GO:0001222	GO:0001221
GO:0001223	GO:0001221
GO:0001227	GO:0000981
GO:0001227	GO:0001217
GO:0001228	GO:0000981
GO:0001228	GO:0001216
GO:0001409	GO:0015216
GO:0001512	GO:0016679
GO:0001530	GO:0008289
GO:0001530	GO:0097367
GO:0001540	GO:0042277
GO:0001618	GO:0140272
GO:0001664	GO:0005102
GO:0001671	GO:0140677
GO:0001727	GO:0016301
GO:0001729	GO:0001727
GO:0001734	GO:0008174
GO:0001758	GO:0016620
GO:0001784	GO:0045309
GO:0001786	GO:0005543
GO:0001786	GO:0072341
GO:0001846	GO:0005515
GO:0001849	GO:0001846
GO:0001849	GO:0001848
GO:0001849	GO:0044877
GO:0001875	GO:0038187
GO:0001882	GO:0036094
GO:0001882	GO:0097159
